Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G_xG,Expected_np:G_xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A_xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take_Ons_Att,Take_Ons_Succ,Take_Ons_Succ%,Take_Ons_Tkld,Take_Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,24,2000,3,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,1.0,0,2,0,0.0,1.94,0.00,0.00,,21.8,0,0,0,0.02,0.0,0.0,45,49,91.8,709,169,23,23,100.0,17,17,100.0,3,5,60.0,0,0.0,0.0,0.0,0,4,0,0,6,49,49,0,0,0,0,0,0,0,0,0,0,45,0,1,2,1.94,1,0,0,1,0,0,1,0.97,0,0,0,1,0,0,6,3,1,4,1,1,2,50.0,1,2,0,2,2,8,1,0,63,1,10,43,10,1,63,2,2,100.0,0,0.0,35,119,54,1,1,1,0,1,41,0,0,1,2,0,0,2,3,0,0,0,4,1,1,50.0
Désiré Doué,FRA,FW,Paris S-G,Ligue ,19,2005,6,2,261,2.9,0,1,1,0,0,0,0,0,0.9,0.9,1.6,2.5,20,18,40,0.00,0.34,0.34,0.00,0.34,0.30,0.56,0.86,0.30,0.86,2.9,0,16,7,43.8,5.52,2.41,0.00,0.00,19.1,0,0,0,0.06,-0.9,-0.9,131,157,83.4,1887,469,81,85,95.3,40,49,81.6,6,14,42.9,1,1.6,1.0,-0.6,10,10,7,5,18,157,148,9,1,1,0,13,3,3,1,1,0,131,0,3,18,6.18,14,0,3,1,0,0,3,1.03,2,0,0,1,0,0,3,2,1,2,0,1,7,14.3,6,3,0,3,0,3,1,0,207,0,24,88,97,25,207,19,7,36.8,12,63.2,141,956,511,20,9,13,6,5,180,40,0,6,8,0,13,0,2,0,0,0,13,0,0,
Guela Doué,CIV,DF,Strasbourg,Ligue ,22,2002,8,8,720,8.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.3,7,27,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,8.0,0,4,2,50.0,0.50,0.25,0.00,0.00,13.5,0,0,0,0.06,-0.2,-0.2,425,512,83.0,7754,3628,162,171,94.7,215,251,85.7,39,73,53.4,0,0.0,0.1,0.0,2,26,2,1,27,512,424,88,23,0,1,5,62,0,0,0,0,425,0,8,13,1.62,8,1,1,2,0,1,2,0.25,2,0,0,0,0,0,16,12,8,3,5,11,14,78.6,3,10,0,10,13,29,39,0,600,46,299,266,45,6,600,5,3,60.0,2,40.0,278,1146,548,7,4,1,7,2,345,4,0,13,5,0,5,13,12,0,0,0,51,12,5,70.6
Douglas,BRA,MF,Nantes,Ligue ,27,1997,7,7,588,6.5,1,1,2,1,0,0,3,0,1.5,1.5,0.3,1.8,3,31,14,0.15,0.15,0.31,0.15,0.31,0.22,0.05,0.27,0.22,0.27,6.5,1,11,4,36.4,1.68,0.61,0.09,0.25,13.5,0,0,0,0.13,-0.5,-0.5,296,340,87.1,4861,1461,145,158,91.8,121,134,90.3,22,31,71.0,1,0.3,0.3,+0.7,4,31,2,1,31,340,324,16,10,0,1,5,2,1,1,0,0,296,0,4,10,1.53,7,1,1,1,0,0,1,0.15,1,0,0,0,0,0,16,9,5,7,4,5,10,50.0,5,9,1,8,4,20,11,0,407,11,82,234,91,17,407,5,4,80.0,1,20.0,191,874,373,3,1,0,2,2,284,14,0,9,14,0,5,4,9,0,0,0,22,3,11,21.4
Ismaël Doukouré,FRA,MF,Strasbourg,Ligue ,21,2003,8,8,675,7.5,0,1,1,0,0,0,3,0,0.1,0.1,0.6,0.7,6,26,5,0.00,0.13,0.13,0.00,0.13,0.01,0.09,0.10,0.01,0.10,7.5,0,1,0,0.0,0.13,0.00,0.00,,22.5,0,0,0,0.07,-0.1,-0.1,266,313,85.0,4472,1114,110,127,86.6,132,145,91.0,16,26,61.5,1,0.6,0.2,+0.4,5,25,0,0,26,313,300,12,6,1,1,0,3,0,0,0,0,266,1,3,8,1.07,7,0,0,0,1,0,2,0.27,2,0,0,0,0,0,14,6,5,9,0,8,8,100.0,0,10,2,8,6,20,20,2,380,34,148,217,17,0,380,6,4,66.7,2,33.3,193,661,318,6,2,0,6,11,266,5,0,4,6,0,0,6,6,0,0,0,24,4,2,66.7
Issa Doumbia,CIV,MF,Venezia,Serie A,21,2003,6,1,146,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,5,4,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,1.6,0,3,1,33.3,1.85,0.62,0.00,0.00,22.3,0,0,0,0.06,-0.2,-0.2,43,56,76.8,639,129,25,28,89.3,16,20,80.0,1,3,33.3,0,0.0,0.0,0.0,1,2,1,0,5,56,54,1,1,0,0,1,0,0,0,0,0,43,1,0,5,3.10,4,0,0,0,0,1,1,0.62,1,0,0,0,0,0,3,1,1,2,0,3,4,75.0,1,3,1,2,1,4,2,0,78,2,20,41,19,1,78,0,0,,0,,44,245,137,2,4,0,4,4,50,4,0,1,1,0,1,1,1,0,0,0,7,5,5,50.0
Kamory Doumbia,MLI,"MF,FW",Brest,Ligue ,21,2003,6,3,285,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,1,10,11,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,3.2,0,2,1,50.0,0.63,0.32,0.00,0.00,27.2,0,0,0,0.03,-0.1,-0.1,112,137,81.8,1604,346,62,68,91.2,38,44,86.4,4,10,40.0,0,0.2,0.3,-0.2,3,7,2,0,10,137,124,10,4,1,0,5,0,1,1,0,0,112,3,1,10,3.16,7,1,0,0,1,1,0,0.00,0,0,0,0,0,0,12,7,4,6,2,7,13,53.8,6,4,0,4,5,17,4,0,175,6,35,95,46,5,175,8,4,50.0,4,50.0,84,372,147,1,1,0,7,6,106,11,0,8,1,0,5,5,7,0,0,0,20,2,5,28.6
Anastasios Douvikas,GRE,FW,Celta Vigo,La Liga,25,1999,11,3,394,4.4,1,0,1,1,0,0,1,0,1.7,1.7,0.0,1.7,4,4,27,0.23,0.00,0.23,0.23,0.23,0.38,0.00,0.38,0.38,0.38,4.4,1,11,5,45.5,2.51,1.14,0.09,0.20,12.3,0,0,0,0.15,-0.7,-0.7,46,62,74.2,650,111,24,34,70.6,18,21,85.7,1,1,100.0,0,0.0,0.1,0.0,0,2,0,0,4,62,49,12,0,0,0,1,0,0,0,0,0,46,1,2,7,1.60,1,0,2,1,3,0,0,0.00,0,0,0,0,0,0,5,1,1,4,0,1,3,33.3,2,4,2,2,3,8,5,0,108,10,14,51,46,18,108,10,4,40.0,4,40.0,69,368,109,4,4,3,10,9,85,27,0,7,18,4,1,3,1,0,0,0,9,8,13,38.1
Artem Dovbyk,UKR,FW,Roma,Serie A,27,1997,9,9,790,8.8,3,0,3,3,0,0,0,0,3.6,3.6,0.3,3.9,5,5,59,0.34,0.00,0.34,0.34,0.34,0.41,0.03,0.44,0.41,0.44,8.8,3,23,8,34.8,2.62,0.91,0.13,0.38,13.8,0,0,0,0.16,-0.6,-0.6,102,132,77.3,1109,138,71,89,79.8,18,22,81.8,1,1,100.0,0,0.3,0.7,-0.3,5,4,2,0,5,132,116,15,0,1,0,0,1,0,0,0,0,102,1,4,16,1.82,11,0,3,2,0,0,3,0.34,1,0,2,0,0,0,1,1,0,0,1,0,1,0.0,1,4,1,3,1,2,3,0,205,4,9,74,122,56,205,10,4,40.0,6,60.0,102,418,89,5,3,1,18,10,157,59,0,8,5,7,0,1,1,0,0,0,12,14,18,43.8
Flynn Downes,ENG,MF,Southampton,Premier League,25,1999,9,9,806,9.0,0,0,0,0,0,0,4,0,0.5,0.5,0.8,1.3,12,36,16,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.14,0.05,0.14,9.0,0,5,1,20.0,0.56,0.11,0.00,0.00,18.4,0,0,0,0.09,-0.5,-0.5,467,508,91.9,6776,1317,277,295,93.9,160,169,94.7,15,23,65.2,0,0.8,0.9,-0.8,11,27,8,0,36,508,490,18,18,4,0,1,0,0,0,0,0,467,0,5,19,2.12,15,2,0,1,0,1,1,0.11,0,1,0,0,0,0,21,11,10,9,2,5,17,29.4,12,15,2,13,14,35,14,1,606,29,178,314,116,11,606,7,1,14.3,6,85.7,269,1440,714,12,11,2,8,9,440,16,0,16,14,0,1,14,11,0,0,0,29,7,4,63.6
