Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G_xG,Expected_np:G_xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A_xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take_Ons_Att,Take_Ons_Succ,Take_Ons_Succ%,Take_Ons_Tkld,Take_Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,0.7,0,1,0,0.0,1.38,0.00,0.00,,24.5,0,0,0,0.07,-0.1,-0.1,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0
James Abankwah,IRL,DF,Udinese,Serie A,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,1,1,100.0,17,15,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Keyliane Abdallah,FRA,FW,Marseille,Ligue ,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,4,0,3,1,0,0,4,0,0,,0,,2,16,9,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue ,37,1987,7,7,576,6.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,3,16,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,6.4,0,2,1,50.0,0.31,0.16,0.00,0.00,10.8,0,0,0,0.12,-0.2,-0.2,253,290,87.2,4694,1542,81,88,92.0,155,165,93.9,15,32,46.9,0,0.0,0.0,0.0,1,20,0,0,16,290,260,29,15,0,0,0,1,0,0,0,0,253,1,1,3,0.47,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,11,7,9,2,0,6,11,54.5,5,11,9,2,5,16,30,1,365,71,219,139,8,4,365,4,2,50.0,2,50.0,178,958,536,3,0,0,7,2,225,3,0,9,4,0,0,5,7,0,0,0,21,10,6,62.5
Himad Abdelli,ALG,"MF,FW",Angers,Ligue ,24,1999,9,9,792,8.8,3,0,3,1,2,3,1,0,3.5,1.1,1.0,2.1,31,58,39,0.34,0.00,0.34,0.11,0.11,0.40,0.12,0.51,0.13,0.24,8.8,3,11,3,27.3,1.25,0.34,0.09,0.33,25.8,0,2,3,0.10,-0.5,-0.1,405,503,80.5,5757,1729,232,260,89.2,143,169,84.6,14,46,30.4,0,1.0,0.9,-1.0,12,46,12,0,58,503,457,44,21,5,1,20,5,5,3,1,0,405,2,8,21,2.39,17,1,1,1,1,0,1,0.11,0,0,1,0,0,0,16,11,4,6,6,6,18,33.3,12,6,0,6,7,23,9,0,615,9,82,333,206,18,612,45,14,31.1,30,66.7,326,2001,1161,31,21,8,13,15,429,39,0,14,10,0,20,7,11,0,0,0,52,5,7,41.7
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue ,25,1999,5,4,338,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,14,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.8,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,168,194,86.6,2879,940,68,73,93.2,90,101,89.1,6,14,42.9,0,0.0,0.0,0.0,0,9,0,0,14,194,182,12,11,0,5,0,1,0,0,0,0,168,0,1,3,0.80,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,12,9,6,5,1,9,14,64.3,5,4,2,2,8,20,16,1,233,25,106,116,13,1,233,2,1,50.0,1,50.0,117,496,267,1,0,0,1,1,130,2,0,1,3,0,0,8,9,0,0,0,22,6,8,42.9
Ali Abdi,TUN,"DF,MF",Nice,Ligue ,30,1993,6,4,401,4.5,1,1,2,1,0,0,1,0,0.6,0.6,0.8,1.4,8,10,28,0.22,0.22,0.45,0.22,0.45,0.13,0.19,0.32,0.13,0.32,4.5,1,7,3,42.9,1.57,0.67,0.14,0.33,24.5,0,0,0,0.08,+0.4,+0.4,142,188,75.5,2042,749,79,92,85.9,52,69,75.4,5,13,38.5,1,0.8,0.4,+0.2,7,5,3,1,10,188,153,33,2,0,1,13,31,0,0,0,0,142,2,5,14,3.14,9,3,0,2,0,0,1,0.22,0,1,0,0,0,0,14,9,6,4,4,12,18,66.7,6,11,3,8,2,16,11,0,247,16,75,88,86,15,247,3,1,33.3,2,66.7,103,434,222,8,4,4,9,4,127,28,0,9,2,1,13,2,9,0,0,0,24,5,6,45.5
Abel,ESP,DF,Osasuna,La Liga,24,2000,10,8,729,8.1,2,0,2,2,0,0,2,0,0.2,0.2,0.3,0.5,15,34,15,0.25,0.00,0.25,0.25,0.25,0.03,0.04,0.07,0.03,0.07,8.1,2,4,3,75.0,0.49,0.37,0.50,0.67,27.1,0,0,0,0.06,+1.8,+1.8,238,350,68.0,4097,1929,122,137,89.1,86,126,68.3,23,64,35.9,0,0.3,0.5,-0.3,5,25,5,4,34,350,249,99,7,0,0,24,92,0,0,0,0,238,2,14,12,1.48,9,0,1,0,1,1,2,0.25,0,0,1,0,0,1,21,15,11,6,4,12,21,57.1,9,13,2,11,8,29,26,0,436,23,148,191,102,3,436,10,5,50.0,5,50.0,145,870,449,15,19,1,6,3,168,15,0,7,10,0,24,8,15,0,0,0,39,8,6,57.1
Nabil Aberdin,FRA,MF,Getafe,La Liga,22,2002,6,3,233,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,2.6,0,2,0,0.0,0.77,0.00,0.00,,31.2,0,0,0,0.02,0.0,0.0,31,51,60.8,588,229,12,20,60.0,9,14,64.3,7,11,63.6,0,0.0,0.1,0.0,1,7,2,0,6,51,48,2,2,0,1,0,0,0,0,0,0,31,1,1,3,1.16,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,5,4,3,2,0,1,1,100.0,0,2,0,2,0,5,5,0,75,6,18,48,9,2,75,3,2,66.7,1,33.3,31,130,64,2,0,0,1,0,29,2,0,5,6,0,0,0,4,0,0,0,8,10,2,83.3
Oliver Abildgaard,DEN,MF,Como,Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,1,1,100.0,21,7,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Matthis Abline,FRA,FW,Nantes,Ligue ,21,2003,9,9,699,7.8,2,0,2,2,0,0,1,0,1.5,1.5,0.7,2.1,20,20,52,0.26,0.00,0.26,0.26,0.26,0.19,0.09,0.27,0.19,0.27,7.8,2,21,8,38.1,2.70,1.03,0.10,0.25,14.3,0,0,0,0.07,+0.5,+0.5,83,125,66.4,1341,253,36,50,72.0,38,51,74.5,4,7,57.1,0,0.7,1.1,-0.7,6,8,6,0,20,125,118,7,0,1,3,8,0,0,0,0,0,83,0,10,13,1.67,10,0,2,1,0,0,0,0.00,0,0,0,0,0,0,3,3,1,1,1,1,6,16.7,5,1,0,1,0,3,14,0,222,10,21,80,126,38,222,26,6,23.1,19,73.1,153,987,401,20,9,11,23,14,179,52,0,8,12,1,8,0,3,0,0,0,18,11,17,39.3
Abner,BRA,DF,Lyon,Ligue ,24,2000,8,7,555,6.2,1,0,1,1,0,0,1,0,0.2,0.2,0.4,0.6,16,25,34,0.16,0.00,0.16,0.16,0.16,0.03,0.06,0.09,0.03,0.09,6.2,1,5,3,60.0,0.81,0.49,0.20,0.33,18.2,0,0,0,0.04,+0.8,+0.8,282,349,80.8,4110,1818,163,182,89.6,89,111,80.2,18,30,60.0,0,0.4,1.5,-0.4,7,21,4,1,25,349,291,56,5,1,1,20,45,6,6,0,0,282,2,9,13,2.11,10,3,0,0,0,0,0,0.00,0,0,0,0,0,0,13,8,5,6,2,10,14,71.4,4,9,1,8,5,18,15,0,409,17,88,190,132,15,409,5,2,40.0,3,60.0,194,921,573,16,4,4,10,4,259,34,0,9,1,0,20,5,8,0,0,0,24,3,4,42.9
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue ,24,2000,9,8,649,7.2,3,1,4,3,0,1,1,0,5.2,4.4,0.2,4.7,12,10,56,0.42,0.14,0.55,0.42,0.55,0.73,0.03,0.76,0.62,0.65,7.2,3,23,11,47.8,3.19,1.53,0.13,0.27,13.7,0,0,1,0.19,-2.2,-1.4,77,127,60.6,967,244,51,67,76.1,22,42,52.4,1,4,25.0,1,0.2,0.5,+0.8,2,5,2,0,10,127,120,6,0,0,0,12,2,2,2,0,0,77,1,5,10,1.39,5,0,3,1,1,0,3,0.42,2,0,1,0,0,0,7,3,2,2,3,3,7,42.9,4,3,0,3,2,9,1,0,217,0,13,83,125,38,216,12,6,50.0,6,50.0,129,659,331,12,8,6,23,8,159,56,0,13,8,2,12,2,3,0,0,0,17,12,10,54.5
Abdel Abqar,MAR,DF,Alavés,La Liga,25,1999,10,10,768,8.5,0,1,1,0,0,0,5,0,0.3,0.3,0.1,0.5,9,27,3,0.00,0.12,0.12,0.00,0.12,0.04,0.02,0.05,0.04,0.05,8.5,0,4,0,0.0,0.47,0.00,0.00,,7.9,0,0,0,0.08,-0.3,-0.3,190,270,70.4,4328,1735,56,64,87.5,97,113,85.8,36,81,44.4,1,0.1,0.1,+0.9,4,22,2,0,27,270,255,14,13,0,5,1,1,0,0,0,0,190,1,2,9,1.05,6,0,0,1,1,1,2,0.23,1,0,0,0,1,0,8,5,3,5,0,2,8,25.0,6,7,3,4,19,27,38,0,357,41,161,179,19,7,357,0,0,,0,,157,1210,766,9,5,0,7,0,164,3,0,21,5,1,1,19,5,1,0,0,23,11,8,57.9
Tammy Abraham,ENG,FW,Roma,Serie A,27,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Tammy Abraham,ENG,FW,Milan,Serie A,27,1997,6,4,352,3.9,1,1,2,0,1,2,0,0,3.4,1.7,0.4,2.1,1,3,23,0.26,0.26,0.51,0.00,0.26,0.87,0.10,0.97,0.44,0.54,3.9,1,12,6,50.0,3.07,1.53,0.00,0.00,15.9,0,1,2,0.14,-2.4,-1.7,37,53,69.8,519,72,21,29,72.4,14,17,82.4,1,2,50.0,1,0.4,0.3,+0.6,4,1,2,0,3,53,46,7,0,1,0,1,0,0,0,0,0,37,0,2,12,3.07,7,0,0,4,1,0,3,0.77,1,0,0,1,1,0,4,1,0,4,0,0,0,,0,3,0,3,1,5,3,0,95,5,7,43,45,26,93,6,1,16.7,5,83.3,41,137,37,1,1,1,6,2,58,23,0,9,2,0,1,1,1,1,0,0,3,5,7,41.7
Federico Accornero,ITA,MF,Genoa,Serie A,20,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Francesco Acerbi,ITA,DF,Inter,Serie A,36,1988,7,7,566,6.3,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.3,5,25,4,0.00,0.16,0.16,0.00,0.16,0.02,0.03,0.05,0.02,0.05,6.3,0,1,0,0.0,0.16,0.00,0.00,,11.7,0,0,0,0.15,-0.2,-0.2,472,497,95.0,8783,2577,156,167,93.4,279,286,97.6,30,34,88.2,1,0.2,0.3,+0.8,3,23,3,2,25,497,481,15,10,0,0,3,4,0,0,0,0,472,1,0,5,0.80,5,0,0,0,0,0,1,0.16,1,0,0,0,0,0,6,4,5,1,0,2,3,66.7,1,6,6,0,11,17,24,0,552,47,221,299,33,6,552,0,0,,0,,383,1773,897,5,8,0,1,1,441,4,0,3,8,0,3,11,4,0,0,0,16,20,9,69.0
Akor Adams,NGA,FW,Montpellier,Ligue ,24,2000,9,8,731,8.1,3,1,4,3,0,0,2,0,3.9,3.9,0.7,4.6,6,5,26,0.37,0.12,0.49,0.37,0.49,0.48,0.09,0.56,0.48,0.56,8.1,3,20,10,50.0,2.46,1.23,0.15,0.30,13.7,0,0,0,0.19,-0.9,-0.9,67,111,60.4,895,123,38,55,69.1,24,38,63.2,1,6,16.7,1,0.7,0.1,+0.3,9,4,0,0,5,111,96,14,0,0,1,4,0,0,0,0,0,67,1,4,16,1.97,12,0,3,0,1,0,3,0.37,1,0,1,0,1,0,1,1,0,1,0,0,1,0.0,1,2,1,1,1,2,3,1,157,3,13,78,68,31,157,9,4,44.4,4,44.4,78,410,183,6,2,5,8,9,106,26,0,13,6,12,4,1,1,1,0,0,17,18,17,51.4
Che Adams,SCO,FW,Torino,Serie A,28,1996,10,7,656,7.3,3,1,4,3,0,0,0,0,2.2,2.2,0.9,3.1,6,6,34,0.41,0.14,0.55,0.41,0.55,0.30,0.13,0.43,0.30,0.43,7.3,3,14,8,57.1,1.92,1.10,0.21,0.38,18.0,0,0,0,0.16,+0.8,+0.8,110,157,70.1,1618,242,60,77,77.9,37,49,75.5,6,12,50.0,1,0.9,0.8,+0.1,9,6,1,0,6,157,145,11,1,1,1,2,1,0,0,0,0,110,1,5,20,2.74,16,0,0,2,2,0,1,0.14,1,0,0,0,0,0,5,3,1,2,2,0,1,0.0,1,5,3,2,0,5,2,0,216,2,17,114,88,22,216,9,4,44.4,5,55.6,126,549,172,6,5,2,14,8,157,34,0,6,10,7,2,0,3,0,0,0,11,12,18,40.0
Tyler Adams,USA,MF,Bournemouth,Premier League,25,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,3,3,100.0,36,32,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,1,2,0,0,3,0,0,,0,,2,7,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23,2001,8,8,630,7.0,2,1,3,2,0,0,3,0,2.9,2.9,1.4,4.3,4,4,30,0.29,0.14,0.43,0.29,0.43,0.41,0.20,0.61,0.41,0.61,7.0,2,16,6,37.5,2.29,0.86,0.13,0.33,13.9,0,0,0,0.18,-0.9,-0.9,86,139,61.9,1023,74,49,71,69.0,23,37,62.2,1,2,50.0,1,1.4,1.4,-0.4,11,2,2,0,4,139,128,10,0,1,0,2,1,0,0,0,0,86,1,6,16,2.29,12,0,1,2,1,0,3,0.43,2,0,0,1,0,0,0,0,0,0,0,0,3,0.0,3,6,0,6,4,4,7,0,218,6,22,103,97,28,218,10,6,60.0,4,40.0,114,470,173,4,3,1,24,8,137,30,0,17,11,8,2,4,0,0,0,0,23,20,45,30.8
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27,1997,4,2,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,1.9,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,138,151,91.4,2275,809,61,63,96.8,73,75,97.3,3,10,30.0,0,0.0,0.0,0.0,1,1,0,0,2,151,140,10,6,0,0,0,0,0,0,0,0,138,1,1,2,1.05,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,2,0,0,1,1,100.0,0,2,2,0,1,3,8,0,163,29,104,59,1,0,163,1,1,100.0,0,0.0,98,350,191,0,0,0,0,0,127,0,0,2,0,0,0,1,2,0,0,0,7,0,0,
Martin Adeline,FRA,MF,Reims,Ligue ,20,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.3,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,14,2,8,4,2,1,14,0,0,,0,,6,35,9,1,0,1,0,0,9,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22,2002,5,4,305,3.4,2,3,5,2,0,0,0,0,0.7,0.7,1.7,2.4,12,3,29,0.59,0.89,1.48,0.59,1.48,0.22,0.49,0.71,0.22,0.71,3.4,2,8,4,50.0,2.36,1.18,0.25,0.50,16.8,0,0,0,0.09,+1.3,+1.3,60,82,73.2,816,94,32,42,76.2,22,26,84.6,0,0,,3,1.7,0.6,+1.3,9,0,3,0,3,82,80,1,0,1,0,1,0,0,0,0,0,60,1,7,13,3.84,8,0,2,2,1,0,3,0.89,3,0,0,0,0,0,7,5,3,1,3,2,2,100.0,0,6,0,6,1,8,0,0,135,2,12,60,68,17,135,22,12,54.5,9,40.9,81,689,351,12,10,8,10,5,101,29,0,5,3,0,1,1,5,0,0,0,12,1,3,25.0
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22,2002,5,1,137,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,5,2,35,0.66,0.66,1.31,0.66,1.31,0.22,0.31,0.53,0.22,0.53,1.5,1,5,1,20.0,3.28,0.66,0.20,1.00,14.0,0,0,0,0.07,+0.7,+0.7,42,67,62.7,507,77,33,41,80.5,8,16,50.0,1,4,25.0,1,0.5,0.6,+0.5,2,1,0,0,2,67,66,0,0,0,0,9,0,0,0,0,0,42,1,2,6,3.94,5,0,0,1,0,0,2,1.31,2,0,0,0,0,0,4,2,2,2,0,3,5,60.0,2,3,0,3,2,6,0,0,102,0,8,32,64,11,102,6,0,0.0,6,100.0,65,445,216,5,5,3,9,2,72,35,0,2,0,0,9,2,2,0,0,0,10,1,1,50.0
Amine Adli,MAR,MF,Leverkusen,Bundesliga,24,2000,7,2,205,2.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,9,37,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.21,0.18,0.21,2.3,0,5,0,0.0,2.20,0.00,0.00,,13.5,0,0,0,0.08,-0.4,-0.4,92,120,76.7,1182,259,61,72,84.7,24,32,75.0,3,9,33.3,0,0.1,0.8,-0.1,2,2,7,2,9,120,115,5,0,0,1,11,5,0,0,0,0,92,0,3,11,4.83,5,0,2,1,3,0,0,0.00,0,0,0,0,0,0,7,4,1,1,5,3,5,60.0,2,3,0,3,0,7,3,0,157,3,21,43,95,15,157,14,7,50.0,6,42.9,82,579,351,12,10,2,5,2,121,37,0,2,7,0,11,0,4,2,0,0,12,6,4,60.0
Yacine Adli,FRA,MF,Fiorentina,Serie A,24,2000,8,3,300,3.3,1,2,3,1,0,0,1,0,0.0,0.0,0.7,0.7,8,23,3,0.30,0.60,0.90,0.30,0.90,0.01,0.20,0.21,0.01,0.21,3.3,1,1,1,100.0,0.30,0.30,1.00,1.00,20.8,0,0,0,0.02,+1.0,+1.0,187,227,82.4,3528,1240,88,97,90.7,72,86,83.7,26,40,65.0,2,0.7,0.4,+1.3,10,25,3,0,23,227,206,20,10,0,5,14,1,9,1,8,0,187,1,2,18,5.40,12,5,1,0,0,0,3,0.90,1,1,1,0,0,0,8,5,2,4,2,3,8,37.5,5,3,0,3,2,10,7,0,255,9,45,152,61,2,255,5,2,40.0,3,60.0,146,964,493,8,10,1,3,1,173,3,0,1,7,0,14,2,5,0,0,0,21,3,2,60.0
Adryelson,BRA,DF,Lyon,Ligue ,26,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,5,1,2,3,0,0,5,0,0,,0,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
Vasilije Adžić,MNE,MF,Juventus,Serie A,18,2006,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,0.2,0,1,1,100.0,4.74,4.74,0.00,0.00,29.1,0,0,0,0.03,0.0,0.0,9,10,90.0,167,18,4,4,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1,10,10,0,0,0,0,0,0,0,0,0,0,9,0,1,2,9.47,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,12,0,1,2,9,1,12,0,0,,0,,6,21,5,0,1,0,0,1,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,
Michel Aebischer,SUI,MF,Bologna,Serie A,27,1997,7,5,378,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,19,9,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,4.2,0,5,2,40.0,1.19,0.48,0.00,0.00,21.1,1,0,0,0.03,-0.2,-0.2,170,196,86.7,3073,764,76,83,91.6,74,82,90.2,19,22,86.4,0,0.3,0.5,-0.3,6,17,3,1,19,196,184,10,4,1,1,6,0,6,1,3,0,170,2,2,9,2.14,6,2,0,0,0,1,0,0.00,0,0,0,0,0,0,7,4,1,4,2,4,8,50.0,4,3,1,2,5,12,2,0,234,6,33,138,64,7,234,3,1,33.3,1,33.3,127,500,180,4,6,2,4,3,165,9,0,8,8,0,6,5,4,0,0,0,18,3,6,33.3
